time,BE,DE,DK,FI,FR,GB,IE,NL,NO,SE
01/01/2015 00:00,0.5116,0.703,0.5928,0.5852,0.5899,0.7529,0.6691,0.5175,0.8284,0.774
01/01/2015 01:00,0.5036,0.6875,0.5769,0.5895,0.5705,0.7395,0.7031,0.519,0.8531,0.7756
01/01/2015 02:00,0.5238,0.6535,0.6154,0.5084,0.5279,0.7465,0.7375,0.5396,0.8746,0.7856
01/01/2015 03:00,0.5404,0.6803,0.6354,0.4204,0.5033,0.7479,0.7178,0.546,0.9074,0.809
01/01/2015 04:00,0.5181,0.7272,0.6622,0.3652,0.525,0.734,0.7119,0.5385,0.942,0.819
01/01/2015 05:00,0.5215,0.749,0.6972,0.39,0.5091,0.7358,0.8204,0.5752,0.9636,0.8337
01/01/2015 06:00,0.5659,0.7706,0.7388,0.4042,0.4669,0.765,0.8727,0.6057,0.9361,0.8471
01/01/2015 07:00,0.5989,0.801,0.7936,0.3796,0.4639,0.7949,0.9156,0.6178,0.8809,0.8781
01/01/2015 08:00,0.6152,0.7828,0.7863,0.3198,0.5913,0.8393,0.9456,0.6291,0.8692,0.9129
01/01/2015 09:00,0.6092,0.7865,0.7855,0.2912,0.4844,0.8721,0.9678,0.6144,0.8781,0.9272
01/01/2015 10:00,0.608,0.8097,0.7846,0.2794,0.2256,0.8943,0.9784,0.6506,0.8648,0.937
01/01/2015 11:00,0.6269,0.831,0.7756,0.277,0.1883,0.9035,0.9793,0.698,0.8172,0.9396
01/01/2015 12:00,0.6867,0.8244,0.7839,0.2566,0.212,0.9165,0.9794,0.7092,0.7903,0.9591
01/01/2015 13:00,0.7313,0.8375,0.7978,0.243,0.2701,0.9302,0.9769,0.7335,0.8517,0.9603
01/01/2015 14:00,0.7573,0.8599,0.7968,0.2382,0.4128,0.9428,0.9694,0.7675,0.8804,0.9446
01/01/2015 15:00,0.7869,0.8813,0.8016,0.2526,0.5981,0.9477,0.9653,0.8053,0.9227,0.9246
01/01/2015 16:00,0.8207,0.9022,0.8327,0.2815,0.6921,0.953,0.9658,0.838,0.9615,0.9322
01/01/2015 17:00,0.8534,0.9295,0.8649,0.3,0.7171,0.9593,0.9638,0.8735,0.9863,0.9459
01/01/2015 18:00,0.8771,0.9531,0.8872,0.3072,0.7385,0.9654,0.9588,0.9027,0.9912,0.9379
01/01/2015 19:00,0.8967,0.9654,0.9069,0.3094,0.7779,0.9701,0.9404,0.9263,0.991,0.9247
01/01/2015 20:00,0.9094,0.9727,0.9289,0.3341,0.81,0.9706,0.8944,0.935,0.9909,0.9329
01/01/2015 21:00,0.9222,0.9763,0.9481,0.3818,0.8294,0.9682,0.8589,0.9409,0.985,0.9581
01/01/2015 22:00,0.9329,0.979,0.9581,0.429,0.8531,0.9634,0.8653,0.9498,0.9568,0.9435
01/01/2015 23:00,0.9405,0.9808,0.9657,0.445,0.8543,0.9639,0.8547,0.9566,0.9017,0.9127
02/01/2015 00:00,0.9455,0.9823,0.9697,0.442,0.8451,0.9649,0.8211,0.9646,0.8284,0.8959
02/01/2015 01:00,0.9499,0.9824,0.972,0.4728,0.8416,0.9625,0.752,0.968,0.7771,0.8825
02/01/2015 02:00,0.95,0.9819,0.976,0.5047,0.8381,0.9537,0.7011,0.9691,0.8419,0.854
02/01/2015 03:00,0.9452,0.9846,0.9816,0.4911,0.8279,0.9382,0.668,0.9685,0.9517,0.7679
02/01/2015 04:00,0.9151,0.9851,0.9837,0.5054,0.8092,0.9204,0.6408,0.9522,0.9798,0.6912
02/01/2015 05:00,0.8664,0.9851,0.984,0.527,0.7906,0.9051,0.6529,0.928,0.9859,0.6362
02/01/2015 06:00,0.8364,0.9856,0.9863,0.5156,0.8257,0.8737,0.6529,0.9153,0.9864,0.6402
02/01/2015 07:00,0.7961,0.9849,0.9845,0.5019,0.7437,0.8393,0.6352,0.8892,0.9877,0.6414
02/01/2015 08:00,0.7012,0.9844,0.9844,0.4818,0.6327,0.8257,0.6056,0.8843,0.9885,0.5149
02/01/2015 09:00,0.6909,0.9822,0.9856,0.4832,0.4786,0.8134,0.5629,0.8694,0.9858,0.4853
02/01/2015 10:00,0.7376,0.9811,0.9862,0.5458,0.3955,0.8082,0.4592,0.8558,0.9812,0.4948
02/01/2015 11:00,0.7293,0.982,0.9853,0.602,0.2676,0.8194,0.4156,0.8545,0.9767,0.4722
02/01/2015 12:00,0.741,0.9832,0.9863,0.6488,0.1967,0.8343,0.4144,0.8686,0.9788,0.4346
02/01/2015 13:00,0.7496,0.9835,0.9858,0.6868,0.1099,0.8417,0.3971,0.8813,0.9902,0.4929
02/01/2015 14:00,0.7354,0.9822,0.9845,0.7015,0.0539,0.8262,0.3153,0.8876,0.9838,0.6159
02/01/2015 15:00,0.7839,0.9811,0.9816,0.6948,0.0392,0.8007,0.3072,0.9079,0.9501,0.69
02/01/2015 16:00,0.7878,0.9795,0.9791,0.6744,0.0662,0.7378,0.3235,0.9221,0.9373,0.7286
02/01/2015 17:00,0.6988,0.9782,0.9788,0.6701,0.1394,0.6669,0.3472,0.9077,0.9562,0.7289
02/01/2015 18:00,0.5887,0.9791,0.9777,0.6912,0.2021,0.6263,0.3885,0.8668,0.9823,0.7542
02/01/2015 19:00,0.5116,0.9786,0.9752,0.7145,0.2676,0.6191,0.3897,0.8089,0.9902,0.7804
02/01/2015 20:00,0.4647,0.977,0.9734,0.7276,0.343,0.6082,0.3848,0.7875,0.9843,0.8182
02/01/2015 21:00,0.4107,0.977,0.9756,0.7391,0.3854,0.6109,0.4169,0.7932,0.9716,0.8347
02/01/2015 22:00,0.3842,0.9792,0.9769,0.7545,0.3403,0.6108,0.4156,0.773,0.9618,0.8071
02/01/2015 23:00,0.3593,0.9794,0.9772,0.8132,0.2777,0.5922,0.3665,0.7174,0.9537,0.7701
03/01/2015 00:00,0.3216,0.9742,0.9811,0.7995,0.2854,0.5869,0.2934,0.6344,0.9746,0.7191
03/01/2015 01:00,0.3325,0.9609,0.9815,0.7973,0.2564,0.5784,0.2653,0.5762,0.9887,0.6687
03/01/2015 02:00,0.3432,0.9505,0.9767,0.8067,0.3683,0.5561,0.1971,0.5597,0.9899,0.6539
03/01/2015 03:00,0.343,0.9499,0.9673,0.8174,0.6544,0.5342,0.1061,0.578,0.9788,0.7177
03/01/2015 04:00,0.3136,0.9573,0.9525,0.8243,0.8464,0.4829,0.1314,0.6452,0.9651,0.8012
03/01/2015 05:00,0.2585,0.9618,0.9346,0.8297,0.9345,0.4112,0.2245,0.7212,0.9549,0.8837
03/01/2015 06:00,0.2176,0.9619,0.916,0.8175,0.9469,0.3214,0.2544,0.7555,0.9465,0.932
03/01/2015 07:00,0.2185,0.9602,0.8909,0.8167,0.9587,0.2618,0.2555,0.7204,0.9341,0.9561
03/01/2015 08:00,0.2888,0.9554,0.8629,0.811,0.9332,0.2332,0.1671,0.5988,0.9162,0.9548
03/01/2015 09:00,0.3114,0.9461,0.8464,0.7937,0.9051,0.2096,0.0683,0.4848,0.8704,0.9273
03/01/2015 10:00,0.3006,0.9233,0.8273,0.7743,0.8837,0.1934,0.2479,0.3787,0.7819,0.8881
03/01/2015 11:00,0.297,0.8811,0.8206,0.7586,0.9236,0.1659,0.3436,0.308,0.693,0.8766
03/01/2015 12:00,0.2205,0.8144,0.8078,0.7403,0.9198,0.1165,0.3897,0.2379,0.6161,0.887
03/01/2015 13:00,0.1016,0.7518,0.8049,0.7176,0.915,0.0975,0.2798,0.1642,0.5766,0.8839
03/01/2015 14:00,0.0344,0.7233,0.7934,0.696,0.9087,0.1216,0.2609,0.1038,0.552,0.8823
03/01/2015 15:00,0.0275,0.7435,0.7757,0.6675,0.9015,0.1579,0.2446,0.0895,0.598,0.8976
03/01/2015 16:00,0.1042,0.7757,0.7577,0.644,0.9047,0.2575,0.202,0.197,0.7073,0.8696
03/01/2015 17:00,0.1705,0.8183,0.7449,0.6291,0.9121,0.2978,0.1383,0.2897,0.7866,0.8626
03/01/2015 18:00,0.1669,0.8344,0.7469,0.6223,0.8601,0.3082,0.067,0.4285,0.8139,0.8604
03/01/2015 19:00,0.2594,0.8473,0.7553,0.6266,0.8287,0.3114,0.0176,0.5715,0.8245,0.8584
03/01/2015 20:00,0.3671,0.8562,0.7675,0.6118,0.7958,0.2982,0.003,0.642,0.8307,0.8632
03/01/2015 21:00,0.3805,0.8598,0.7687,0.5926,0.7149,0.2718,0.0003,0.6527,0.8299,0.8715
03/01/2015 22:00,0.3732,0.8567,0.7673,0.581,0.6897,0.2442,0.0,0.6563,0.8221,0.8804
03/01/2015 23:00,0.3746,0.8403,0.7489,0.5742,0.673,0.2184,0.0,0.6778,0.8114,0.8826
04/01/2015 00:00,0.3638,0.8251,0.747,0.5731,0.6008,0.1995,0.0,0.6757,0.8148,0.8895
04/01/2015 01:00,0.2874,0.8121,0.7462,0.57,0.5322,0.1804,0.0,0.6254,0.7885,0.9019
04/01/2015 02:00,0.2195,0.7931,0.7536,0.5723,0.4975,0.1729,0.0001,0.5861,0.7509,0.9099
04/01/2015 03:00,0.2086,0.7706,0.7524,0.5821,0.4581,0.1682,0.0007,0.5621,0.7178,0.9248
04/01/2015 04:00,0.2286,0.7635,0.7511,0.5817,0.3983,0.1561,0.0041,0.5654,0.705,0.9358
04/01/2015 05:00,0.219,0.769,0.7585,0.5875,0.3293,0.1379,0.0112,0.5372,0.7109,0.9435
04/01/2015 06:00,0.1929,0.779,0.7716,0.5926,0.2828,0.1201,0.0236,0.5011,0.7235,0.9482
04/01/2015 07:00,0.1599,0.7705,0.7744,0.605,0.2198,0.1069,0.0497,0.4743,0.7612,0.9522
04/01/2015 08:00,0.1232,0.7305,0.7629,0.6017,0.1672,0.1033,0.1084,0.4279,0.7857,0.9515
04/01/2015 09:00,0.1035,0.7069,0.741,0.5801,0.1046,0.1121,0.1961,0.3692,0.7713,0.9455
04/01/2015 10:00,0.093,0.6818,0.7228,0.5568,0.0383,0.1241,0.2698,0.302,0.7026,0.9403
04/01/2015 11:00,0.0869,0.6542,0.7044,0.5475,0.0246,0.1351,0.3329,0.2525,0.6312,0.9368
04/01/2015 12:00,0.0809,0.6235,0.6794,0.5441,0.0295,0.1471,0.3568,0.2335,0.5388,0.9318
04/01/2015 13:00,0.0756,0.6116,0.656,0.5402,0.0272,0.1624,0.3424,0.2166,0.4524,0.9296
04/01/2015 14:00,0.0756,0.5816,0.6281,0.505,0.0189,0.1896,0.3211,0.204,0.3624,0.92
04/01/2015 15:00,0.078,0.5389,0.5908,0.4745,0.0135,0.2208,0.2843,0.2024,0.261,0.8962
04/01/2015 16:00,0.0804,0.4919,0.5607,0.4582,0.0162,0.2471,0.2361,0.1893,0.1761,0.8679
04/01/2015 17:00,0.0981,0.4534,0.5506,0.4409,0.0311,0.2602,0.2183,0.1773,0.1486,0.8421
04/01/2015 18:00,0.1259,0.4407,0.543,0.4414,0.0458,0.2603,0.2111,0.1931,0.1239,0.8136
04/01/2015 19:00,0.1473,0.456,0.55,0.4106,0.0656,0.2508,0.2091,0.2414,0.1411,0.8011
04/01/2015 20:00,0.1624,0.4905,0.5487,0.3888,0.091,0.2445,0.2122,0.2955,0.1651,0.7887
04/01/2015 21:00,0.1634,0.5374,0.541,0.3795,0.1217,0.2487,0.2351,0.3296,0.1847,0.7848
04/01/2015 22:00,0.1594,0.5724,0.5098,0.3915,0.1557,0.2548,0.2866,0.3328,0.1563,0.7644
04/01/2015 23:00,0.1613,0.5799,0.48,0.3825,0.1821,0.2621,0.3365,0.3302,0.1045,0.652
05/01/2015 00:00,0.1699,0.5741,0.4582,0.3921,0.1936,0.2835,0.3388,0.3401,0.052,0.6331
05/01/2015 01:00,0.1798,0.5385,0.4416,0.3958,0.2032,0.3008,0.3653,0.3538,0.0224,0.5492
05/01/2015 02:00,0.1971,0.5241,0.4489,0.3907,0.229,0.3334,0.3604,0.3664,0.0069,0.5123
05/01/2015 03:00,0.2125,0.5086,0.4545,0.3634,0.2867,0.3514,0.3738,0.3575,0.0126,0.4649
05/01/2015 04:00,0.2256,0.478,0.4449,0.3254,0.364,0.3343,0.386,0.3516,0.0495,0.4504
05/01/2015 05:00,0.2331,0.4363,0.4175,0.2781,0.384,0.3193,0.402,0.353,0.1179,0.433
05/01/2015 06:00,0.225,0.3943,0.3567,0.2071,0.2764,0.3218,0.4033,0.3467,0.1733,0.4127
05/01/2015 07:00,0.2198,0.3668,0.2944,0.1565,0.2313,0.3281,0.4243,0.3392,0.2235,0.3461
05/01/2015 08:00,0.224,0.3484,0.2321,0.1318,0.1925,0.3353,0.443,0.3308,0.273,0.29
05/01/2015 09:00,0.2361,0.3256,0.1932,0.1115,0.1529,0.3327,0.438,0.2953,0.3148,0.256
05/01/2015 10:00,0.2493,0.3118,0.1486,0.1011,0.1842,0.3273,0.4405,0.2761,0.3569,0.2327
05/01/2015 11:00,0.241,0.2985,0.1187,0.0997,0.1811,0.3226,0.4393,0.2741,0.388,0.2181
05/01/2015 12:00,0.229,0.2761,0.0961,0.0978,0.1438,0.3206,0.4792,0.2656,0.3981,0.208
05/01/2015 13:00,0.2166,0.2416,0.0755,0.1016,0.1161,0.3181,0.4929,0.2444,0.4229,0.2059
05/01/2015 14:00,0.2089,0.1986,0.0615,0.1073,0.0995,0.3285,0.4904,0.2292,0.4658,0.2013
05/01/2015 15:00,0.2087,0.1604,0.0568,0.1007,0.1138,0.3473,0.4455,0.2355,0.5136,0.1818
05/01/2015 16:00,0.2181,0.136,0.0602,0.0966,0.1529,0.3757,0.4555,0.2372,0.552,0.154
05/01/2015 17:00,0.2352,0.1244,0.0711,0.0979,0.1811,0.3981,0.5041,0.2308,0.5966,0.1217
05/01/2015 18:00,0.253,0.1208,0.0867,0.1082,0.1771,0.416,0.514,0.2294,0.6719,0.0774
05/01/2015 19:00,0.2657,0.1204,0.1002,0.1151,0.1548,0.4268,0.5821,0.2268,0.6966,0.042
05/01/2015 20:00,0.2612,0.122,0.1161,0.1213,0.1359,0.4324,0.514,0.2232,0.7143,0.0211
05/01/2015 21:00,0.2468,0.1282,0.1343,0.1149,0.1266,0.4368,0.478,0.223,0.753,0.0199
05/01/2015 22:00,0.2259,0.1398,0.1537,0.1034,0.1153,0.4392,0.5557,0.2244,0.794,0.0462
05/01/2015 23:00,0.2104,0.1552,0.1683,0.0982,0.1046,0.4355,0.5605,0.2241,0.8114,0.0838
06/01/2015 00:00,0.2043,0.1687,0.1812,0.1001,0.0952,0.4423,0.5374,0.2254,0.836,0.1229
06/01/2015 01:00,0.2021,0.1818,0.1949,0.1062,0.1053,0.4654,0.5471,0.2289,0.8597,0.1733
06/01/2015 02:00,0.1959,0.2083,0.2139,0.1149,0.1421,0.497,0.5337,0.2359,0.8734,0.2371
06/01/2015 03:00,0.1872,0.2335,0.2402,0.125,0.2302,0.5081,0.4293,0.2361,0.8763,0.3024
06/01/2015 04:00,0.1865,0.2502,0.2721,0.1447,0.3361,0.5235,0.433,0.2363,0.8963,0.3689
06/01/2015 05:00,0.2017,0.2741,0.3147,0.1822,0.3556,0.5551,0.4717,0.2436,0.9145,0.4291
06/01/2015 06:00,0.218,0.2962,0.362,0.2333,0.3854,0.5632,0.4842,0.2602,0.9344,0.4927
06/01/2015 07:00,0.2302,0.3108,0.3965,0.292,0.4317,0.5771,0.4642,0.269,0.9525,0.5517
06/01/2015 08:00,0.2345,0.3268,0.4386,0.3494,0.461,0.6115,0.4592,0.2662,0.9689,0.5922
06/01/2015 09:00,0.2442,0.3356,0.4446,0.4347,0.4143,0.6085,0.4243,0.2419,0.9776,0.6132
06/01/2015 10:00,0.2504,0.3455,0.4644,0.5377,0.2932,0.6146,0.3223,0.2156,0.9794,0.6223
06/01/2015 11:00,0.2811,0.358,0.483,0.5523,0.3103,0.6124,0.2468,0.2188,0.9773,0.6479
06/01/2015 12:00,0.3406,0.3703,0.4991,0.6149,0.3868,0.6072,0.2468,0.2303,0.9774,0.6656
06/01/2015 13:00,0.4012,0.3819,0.5333,0.622,0.4449,0.6058,0.2968,0.2516,0.9785,0.7195
06/01/2015 14:00,0.433,0.3999,0.5678,0.6387,0.3911,0.5596,0.32,0.2963,0.979,0.7963
06/01/2015 15:00,0.4467,0.4531,0.6249,0.6924,0.3334,0.5174,0.3282,0.3669,0.9776,0.8558
06/01/2015 16:00,0.4482,0.5082,0.6794,0.7246,0.2651,0.5241,0.3365,0.4278,0.9578,0.8984
06/01/2015 17:00,0.3968,0.5449,0.7272,0.7388,0.3184,0.5204,0.3341,0.455,0.8629,0.9224
06/01/2015 18:00,0.4701,0.5414,0.7539,0.8009,0.4405,0.4968,0.2979,0.4294,0.728,0.9477
06/01/2015 19:00,0.5269,0.4929,0.7525,0.7773,0.4742,0.4575,0.3164,0.4432,0.6954,0.9651
06/01/2015 20:00,0.549,0.4455,0.72,0.7899,0.4259,0.435,0.3872,0.4754,0.7212,0.9714
06/01/2015 21:00,0.5117,0.4154,0.639,0.8099,0.3584,0.4262,0.478,0.5275,0.7519,0.9748
06/01/2015 22:00,0.4082,0.4531,0.5684,0.8278,0.2932,0.4065,0.5325,0.5418,0.7592,0.974
06/01/2015 23:00,0.3014,0.5057,0.553,0.8494,0.2431,0.3854,0.5605,0.485,0.7258,0.9683
07/01/2015 00:00,0.237,0.5304,0.5601,0.8619,0.2065,0.3895,0.6463,0.4258,0.6629,0.9545
07/01/2015 01:00,0.2044,0.5146,0.5475,0.8693,0.1925,0.3984,0.7563,0.3821,0.5106,0.9334
07/01/2015 02:00,0.1664,0.481,0.4964,0.8693,0.2109,0.4171,0.8453,0.3187,0.3201,0.8888
07/01/2015 03:00,0.1309,0.4316,0.4228,0.855,0.2153,0.4455,0.889,0.2172,0.2025,0.809
07/01/2015 04:00,0.1275,0.3635,0.3602,0.8415,0.1925,0.4872,0.9176,0.1467,0.2025,0.7196
07/01/2015 05:00,0.1847,0.3164,0.3569,0.8318,0.1529,0.5388,0.954,0.1633,0.2516,0.6889
07/01/2015 06:00,0.281,0.327,0.431,0.8303,0.0966,0.5842,0.9655,0.274,0.3241,0.6393
07/01/2015 07:00,0.3659,0.384,0.4867,0.8264,0.0357,0.6341,0.967,0.4038,0.4406,0.6698
07/01/2015 08:00,0.4164,0.4447,0.5164,0.8203,0.002,0.6861,0.9684,0.4535,0.5809,0.7152
07/01/2015 09:00,0.4385,0.5025,0.5095,0.8113,0.0017,0.7111,0.9698,0.4657,0.7369,0.7252
07/01/2015 10:00,0.4255,0.552,0.4934,0.8412,0.009,0.7386,0.968,0.5457,0.844,0.7092
07/01/2015 11:00,0.4355,0.5762,0.4789,0.8262,0.0287,0.7704,0.9694,0.607,0.9032,0.6545
07/01/2015 12:00,0.4703,0.5725,0.4575,0.7984,0.0777,0.8098,0.9724,0.5925,0.9355,0.618
07/01/2015 13:00,0.5173,0.5662,0.4473,0.7088,0.1266,0.8459,0.9719,0.5652,0.9578,0.5842
07/01/2015 14:00,0.5581,0.5829,0.4658,0.678,0.1741,0.8707,0.9727,0.5587,0.9736,0.6038
07/01/2015 15:00,0.6059,0.6313,0.5109,0.6413,0.3612,0.8885,0.9712,0.5789,0.9854,0.621
07/01/2015 16:00,0.6835,0.6869,0.5433,0.5926,0.5803,0.9048,0.9629,0.6472,0.9909,0.6289
07/01/2015 17:00,0.7215,0.7395,0.5664,0.5363,0.7171,0.9208,0.9184,0.7029,0.9913,0.6338
07/01/2015 18:00,0.7494,0.7944,0.6308,0.4909,0.7888,0.9353,0.7897,0.7658,0.9891,0.6094
07/01/2015 19:00,0.7645,0.8458,0.6722,0.4336,0.8067,0.9259,0.6616,0.8044,0.9861,0.6277
07/01/2015 20:00,0.772,0.8856,0.7061,0.3732,0.8367,0.9126,0.5857,0.8265,0.9896,0.6387
07/01/2015 21:00,0.7812,0.9061,0.7513,0.3353,0.8388,0.8971,0.5581,0.8446,0.9911,0.67
07/01/2015 22:00,0.792,0.9223,0.795,0.3164,0.8242,0.8762,0.5496,0.8532,0.9841,0.7325
07/01/2015 23:00,0.8021,0.9267,0.8545,0.306,0.8491,0.8549,0.552,0.8608,0.9719,0.7858
08/01/2015 00:00,0.8246,0.9256,0.8802,0.2862,0.8451,0.8416,0.5312,0.8597,0.9564,0.8675
08/01/2015 01:00,0.8416,0.927,0.9048,0.2679,0.8331,0.8322,0.4418,0.8561,0.9195,0.9191
08/01/2015 02:00,0.8463,0.9262,0.9177,0.2767,0.8257,0.8165,0.3897,0.8459,0.8859,0.9498
08/01/2015 03:00,0.803,0.9211,0.9188,0.2952,0.7834,0.7947,0.3677,0.8343,0.8912,0.9611
08/01/2015 04:00,0.7842,0.9037,0.9084,0.3523,0.7215,0.7832,0.352,0.8008,0.8623,0.9663
08/01/2015 05:00,0.762,0.8748,0.883,0.4577,0.7508,0.7343,0.3294,0.7874,0.8055,0.9708
08/01/2015 06:00,0.7936,0.8451,0.8446,0.5404,0.7966,0.6904,0.3118,0.7461,0.7653,0.9724
08/01/2015 07:00,0.7621,0.788,0.8214,0.561,0.8242,0.6329,0.3153,0.7381,0.78,0.9775
08/01/2015 08:00,0.6142,0.7419,0.7743,0.592,0.8842,0.5495,0.3592,0.6374,0.8046,0.9816
08/01/2015 09:00,0.5046,0.6948,0.733,0.6075,0.953,0.4988,0.458,0.5352,0.8292,0.9843
08/01/2015 10:00,0.3689,0.6407,0.6749,0.6171,0.9504,0.4882,0.468,0.4781,0.839,0.9821
08/01/2015 11:00,0.2307,0.5986,0.6184,0.6266,0.9429,0.5133,0.4008,0.3786,0.8337,0.9555
08/01/2015 12:00,0.2692,0.5392,0.5992,0.6025,0.9038,0.565,0.3436,0.3471,0.833,0.9318
08/01/2015 13:00,0.5277,0.4983,0.5697,0.6358,0.7704,0.5283,0.2866,0.3803,0.844,0.9008
08/01/2015 14:00,0.4007,0.5118,0.5297,0.6362,0.4961,0.5172,0.2287,0.3407,0.8617,0.8545
08/01/2015 15:00,0.4003,0.5465,0.524,0.6412,0.3926,0.4962,0.3037,0.3507,0.8704,0.8042
08/01/2015 16:00,0.3506,0.5703,0.538,0.6723,0.5222,0.5262,0.3909,0.4245,0.8604,0.7561
08/01/2015 17:00,0.4146,0.6238,0.5338,0.6418,0.555,0.5583,0.4842,0.4775,0.8636,0.722
08/01/2015 18:00,0.5096,0.6847,0.5429,0.5625,0.5579,0.59,0.6125,0.5512,0.8875,0.6998
08/01/2015 19:00,0.569,0.7316,0.6112,0.5023,0.4961,0.6053,0.7641,0.5794,0.8988,0.6713
08/01/2015 20:00,0.555,0.793,0.6823,0.4098,0.525,0.6042,0.9023,0.626,0.8798,0.6968
08/01/2015 21:00,0.477,0.8418,0.7331,0.3323,0.6656,0.657,0.9758,0.5963,0.8367,0.7397
08/01/2015 22:00,0.5009,0.8479,0.7566,0.2764,0.8395,0.7424,0.9787,0.5304,0.7752,0.7915
08/01/2015 23:00,0.5821,0.8352,0.7736,0.2197,0.9033,0.8349,0.9697,0.5427,0.6603,0.8328
09/01/2015 00:00,0.7167,0.8229,0.7814,0.1712,0.8899,0.8864,0.9204,0.6364,0.521,0.8644
09/01/2015 01:00,0.8571,0.8527,0.7968,0.133,0.8668,0.915,0.8704,0.7515,0.5838,0.8866
09/01/2015 02:00,0.935,0.8958,0.8032,0.1157,0.8697,0.9483,0.8738,0.8191,0.7561,0.8942
09/01/2015 03:00,0.9772,0.9255,0.7809,0.1065,0.8889,0.9759,0.8721,0.9132,0.8769,0.9066
09/01/2015 04:00,0.9795,0.9601,0.7551,0.11,0.8919,0.974,0.8147,0.98,0.9561,0.9093
09/01/2015 05:00,0.976,0.9253,0.7977,0.126,0.9444,0.9579,0.7149,0.9855,0.9814,0.8878
09/01/2015 06:00,0.9684,0.9045,0.8424,0.143,0.9656,0.9353,0.5951,0.9854,0.9549,0.8474
09/01/2015 07:00,0.9425,0.9129,0.8635,0.1705,0.9578,0.9175,0.5029,0.976,0.7582,0.8301
09/01/2015 08:00,0.9245,0.93,0.9223,0.2095,0.9358,0.901,0.3872,0.9647,0.4465,0.8014
09/01/2015 09:00,0.9049,0.9562,0.943,0.2476,0.8692,0.8753,0.4405,0.9616,0.1985,0.6902
09/01/2015 10:00,0.8784,0.9681,0.9743,0.2851,0.8195,0.8401,0.6102,0.9529,0.0118,0.2748
09/01/2015 11:00,0.8614,0.968,0.9638,0.32,0.8613,0.8301,0.7889,0.9442,0.0206,0.225
09/01/2015 12:00,0.8621,0.9732,0.9561,0.3556,0.8949,0.8431,0.952,0.9336,0.0606,0.2289
09/01/2015 13:00,0.8653,0.9774,0.9524,0.3961,0.8788,0.8587,0.9786,0.9189,0.1847,0.2306
09/01/2015 14:00,0.8636,0.9799,0.9648,0.4382,0.8416,0.8808,0.9776,0.8925,0.4972,0.227
09/01/2015 15:00,0.8894,0.9725,0.9731,0.4715,0.8464,0.9126,0.9793,0.8543,0.7269,0.1155
09/01/2015 16:00,0.9191,0.9588,0.9691,0.5064,0.8692,0.9519,0.974,0.8353,0.8433,0.0548
09/01/2015 17:00,0.9669,0.9102,0.9574,0.5359,0.8799,0.9748,0.9656,0.7987,0.8792,0.0416
09/01/2015 18:00,0.9807,0.8249,0.9457,0.5563,0.8884,0.9782,0.9545,0.7654,0.8775,0.057
09/01/2015 19:00,0.9808,0.6983,0.9167,0.5702,0.8853,0.9752,0.9445,0.8166,0.8462,0.11
09/01/2015 20:00,0.9792,0.5586,0.8657,0.5692,0.8992,0.9725,0.934,0.9095,0.7303,0.2094
09/01/2015 21:00,0.9767,0.4568,0.7876,0.5643,0.9074,0.9711,0.9382,0.9507,0.6175,0.3317
09/01/2015 22:00,0.9724,0.4085,0.6875,0.5627,0.8968,0.9708,0.9436,0.9742,0.515,0.455
09/01/2015 23:00,0.9664,0.5053,0.5398,0.559,0.8904,0.9714,0.9495,0.969,0.417,0.5369
10/01/2015 00:00,0.9651,0.6771,0.4253,0.5475,0.8899,0.9732,0.9579,0.964,0.6203,0.5616
10/01/2015 01:00,0.9625,0.8426,0.3129,0.542,0.8904,0.975,0.9692,0.9613,0.8419,0.5643
10/01/2015 02:00,0.9565,0.896,0.2724,0.5413,0.9069,0.9762,0.9783,0.9639,0.945,0.4919
10/01/2015 03:00,0.9591,0.9108,0.3827,0.5198,0.9258,0.9773,0.9717,0.9681,0.9588,0.4068
10/01/2015 04:00,0.9688,0.9006,0.4638,0.4849,0.9104,0.9796,0.971,0.9664,0.9288,0.2868
10/01/2015 05:00,0.9768,0.8962,0.5998,0.4261,0.921,0.9837,0.978,0.9663,0.945,0.2953
10/01/2015 06:00,0.9807,0.9161,0.7969,0.4061,0.9186,0.985,0.9705,0.974,0.9675,0.4673
10/01/2015 07:00,0.9799,0.9456,0.909,0.3651,0.9125,0.9844,0.9768,0.9804,0.9744,0.5673
10/01/2015 08:00,0.9753,0.9671,0.9499,0.3276,0.9158,0.9837,0.9702,0.9839,0.9777,0.6744
10/01/2015 09:00,0.9719,0.9806,0.966,0.3136,0.9232,0.984,0.9416,0.9855,0.9848,0.7127
10/01/2015 10:00,0.9655,0.9709,0.9785,0.329,0.9154,0.9853,0.9005,0.9815,0.9818,0.7605
10/01/2015 11:00,0.9807,0.9431,0.9726,0.3778,0.928,0.9809,0.8516,0.9856,0.7992,0.7411
10/01/2015 12:00,0.9643,0.9305,0.9664,0.461,0.9121,0.9723,0.8211,0.981,0.3415,0.5582
10/01/2015 13:00,0.9372,0.9205,0.9588,0.562,0.8613,0.9661,0.8006,0.9764,0.1546,0.4005
10/01/2015 14:00,0.9287,0.9636,0.9658,0.6493,0.8309,0.9537,0.7841,0.9765,0.0325,0.3376
10/01/2015 15:00,0.919,0.9714,0.9722,0.7028,0.8345,0.9247,0.7675,0.9698,0.036,0.4232
10/01/2015 16:00,0.8741,0.9723,0.9744,0.7469,0.7519,0.8904,0.7484,0.957,0.1216,0.472
