InterconnectorLinks,ToNode,Period,MaxRawNotAdjustWithInitCap_in_MW
CzechR,Austria,1,900.0
CzechR,Austria,2,900.0
CzechR,Austria,3,1900.0
CzechR,Austria,4,1900.0
CzechR,Austria,5,1900.0
CzechR,Austria,6,1900.0
CzechR,Austria,7,1900.0
CzechR,Austria,8,1900.0
Germany,Austria,1,5000.0
Germany,Austria,2,7000.0
Germany,Austria,3,9500.0
Germany,Austria,4,7500.0
Germany,Austria,5,10200.0
Germany,Austria,6,8200.0
Germany,Austria,7,8200.0
Germany,Austria,8,8200.0
Hungary,Austria,1,800.0
Hungary,Austria,2,800.0
Hungary,Austria,3,2800.0
Hungary,Austria,4,2800.0
Hungary,Austria,5,2800.0
Hungary,Austria,6,2800.0
Hungary,Austria,7,2800.0
Hungary,Austria,8,2800.0
Italy,Austria,1,405.0
Italy,Austria,2,795.0
Italy,Austria,3,1295.0
Italy,Austria,4,1295.0
Italy,Austria,5,2295.0
Italy,Austria,6,2295.0
Italy,Austria,7,2295.0
Italy,Austria,8,2295.0
Slovakia,Austria,1,0.0
Slovakia,Austria,2,0.0
Slovakia,Austria,3,1000.0
Slovakia,Austria,4,1000.0
Slovakia,Austria,5,1000.0
Slovakia,Austria,6,1000.0
Slovakia,Austria,7,1000.0
Slovakia,Austria,8,1000.0
Slovenia,Austria,1,950.0
Slovenia,Austria,2,950.0
Slovenia,Austria,3,1950.0
Slovenia,Austria,4,1950.0
Slovenia,Austria,5,2950.0
Slovenia,Austria,6,2950.0
Slovenia,Austria,7,2950.0
Slovenia,Austria,8,2950.0
Switzerland,Austria,1,1200.0
Switzerland,Austria,2,1200.0
Switzerland,Austria,3,2200.0
Switzerland,Austria,4,2200.0
Switzerland,Austria,5,3200.0
Switzerland,Austria,6,3200.0
Switzerland,Austria,7,3200.0
Switzerland,Austria,8,3200.0
France,Belgium,1,1850.0
France,Belgium,2,3350.0
France,Belgium,3,6350.0
France,Belgium,4,6350.0
France,Belgium,5,7350.0
France,Belgium,6,7350.0
France,Belgium,7,7350.0
France,Belgium,8,7350.0
Germany,Belgium,1,1000.0
Germany,Belgium,2,2000.0
Germany,Belgium,3,2000.0
Germany,Belgium,4,2000.0
Germany,Belgium,5,2000.0
Germany,Belgium,6,2000.0
Germany,Belgium,7,2000.0
Germany,Belgium,8,2000.0
GreatBrit.,Belgium,1,1000.0
GreatBrit.,Belgium,2,1000.0
GreatBrit.,Belgium,3,1000.0
GreatBrit.,Belgium,4,1000.0
GreatBrit.,Belgium,5,1000.0
GreatBrit.,Belgium,6,1000.0
GreatBrit.,Belgium,7,1000.0
GreatBrit.,Belgium,8,1000.0
Luxemb.,Belgium,1,680.0
Luxemb.,Belgium,2,1180.0
Luxemb.,Belgium,3,1680.0
Luxemb.,Belgium,4,1680.0
Luxemb.,Belgium,5,1680.0
Luxemb.,Belgium,6,1680.0
Luxemb.,Belgium,7,1680.0
Luxemb.,Belgium,8,1680.0
Netherlands,Belgium,1,950.0
Netherlands,Belgium,2,1950.0
Netherlands,Belgium,3,3950.0
Netherlands,Belgium,4,3950.0
Netherlands,Belgium,5,3950.0
Netherlands,Belgium,6,3950.0
Netherlands,Belgium,7,3950.0
Netherlands,Belgium,8,3950.0
Croatia,BosniaH,1,750.0
Croatia,BosniaH,2,750.0
Croatia,BosniaH,3,750.0
Croatia,BosniaH,4,750.0
Croatia,BosniaH,5,1894.0
Croatia,BosniaH,6,1894.0
Croatia,BosniaH,7,1894.0
Croatia,BosniaH,8,1894.0
Italy,BosniaH,1,0.0
Italy,BosniaH,2,0.0
Italy,BosniaH,3,0.0
Italy,BosniaH,4,0.0
Italy,BosniaH,5,0.0
Italy,BosniaH,6,0.0
Italy,BosniaH,7,0.0
Italy,BosniaH,8,0.0
Serbia,BosniaH,1,600.0
Serbia,BosniaH,2,600.0
Serbia,BosniaH,3,600.0
Serbia,BosniaH,4,600.0
Serbia,BosniaH,5,1950.0
Serbia,BosniaH,6,1950.0
Serbia,BosniaH,7,1950.0
Serbia,BosniaH,8,1950.0
Greece,Bulgaria,1,600.0
Greece,Bulgaria,2,1400.0
Greece,Bulgaria,3,1400.0
Greece,Bulgaria,4,1400.0
Greece,Bulgaria,5,2400.0
Greece,Bulgaria,6,2400.0
Greece,Bulgaria,7,2400.0
Greece,Bulgaria,8,2400.0
Macedonia,Bulgaria,1,400.0
Macedonia,Bulgaria,2,400.0
Macedonia,Bulgaria,3,400.0
Macedonia,Bulgaria,4,400.0
Macedonia,Bulgaria,5,400.0
Macedonia,Bulgaria,6,400.0
Macedonia,Bulgaria,7,400.0
Macedonia,Bulgaria,8,400.0
Romania,Bulgaria,1,300.0
Romania,Bulgaria,2,900.0
Romania,Bulgaria,3,1900.0
Romania,Bulgaria,4,1900.0
Romania,Bulgaria,5,3400.0
Romania,Bulgaria,6,3400.0
Romania,Bulgaria,7,3400.0
Romania,Bulgaria,8,3400.0
Serbia,Bulgaria,1,500.0
Serbia,Bulgaria,2,1344.0
Serbia,Bulgaria,3,1844.0
Serbia,Bulgaria,4,1844.0
Serbia,Bulgaria,5,2574.0
Serbia,Bulgaria,6,2574.0
Serbia,Bulgaria,7,2574.0
Serbia,Bulgaria,8,2574.0
Hungary,Croatia,1,0.0
Hungary,Croatia,2,0.0
Hungary,Croatia,3,0.0
Hungary,Croatia,4,0.0
Hungary,Croatia,5,0.0
Hungary,Croatia,6,0.0
Hungary,Croatia,7,0.0
Hungary,Croatia,8,0.0
Italy,Croatia,1,0.0
Italy,Croatia,2,0.0
Italy,Croatia,3,0.0
Italy,Croatia,4,0.0
Italy,Croatia,5,0.0
Italy,Croatia,6,0.0
Italy,Croatia,7,0.0
Italy,Croatia,8,0.0
Serbia,Croatia,1,600.0
Serbia,Croatia,2,600.0
Serbia,Croatia,3,2200.0
Serbia,Croatia,4,2200.0
Serbia,Croatia,5,2200.0
Serbia,Croatia,6,2200.0
Serbia,Croatia,7,2200.0
Serbia,Croatia,8,2200.0
Slovenia,Croatia,1,1500.0
Slovenia,Croatia,2,1650.0
Slovenia,Croatia,3,1650.0
Slovenia,Croatia,4,1650.0
Slovenia,Croatia,5,3650.0
Slovenia,Croatia,6,3650.0
Slovenia,Croatia,7,3650.0
Slovenia,Croatia,8,3650.0
Germany,CzechR,1,2100.0
Germany,CzechR,2,2600.0
Germany,CzechR,3,3100.0
Germany,CzechR,4,3100.0
Germany,CzechR,5,4250.0
Germany,CzechR,6,4250.0
Germany,CzechR,7,4250.0
Germany,CzechR,8,4250.0
Poland,CzechR,1,800.0
Poland,CzechR,2,800.0
Poland,CzechR,3,800.0
Poland,CzechR,4,800.0
Poland,CzechR,5,1800.0
Poland,CzechR,6,1800.0
Poland,CzechR,7,1800.0
Poland,CzechR,8,1800.0
Slovakia,CzechR,1,1800.0
Slovakia,CzechR,2,1800.0
Slovakia,CzechR,3,1800.0
Slovakia,CzechR,4,1800.0
Slovakia,CzechR,5,2300.0
Slovakia,CzechR,6,2300.0
Slovakia,CzechR,7,2300.0
Slovakia,CzechR,8,2300.0
GreatBrit.,Denmark,1,1400.0
GreatBrit.,Denmark,2,2800.0
GreatBrit.,Denmark,3,2800.0
GreatBrit.,Denmark,4,2800.0
GreatBrit.,Denmark,5,2800.0
GreatBrit.,Denmark,6,2800.0
GreatBrit.,Denmark,7,2800.0
GreatBrit.,Denmark,8,2800.0
Netherlands,Denmark,1,700.0
Netherlands,Denmark,2,700.0
Netherlands,Denmark,3,700.0
Netherlands,Denmark,4,700.0
Netherlands,Denmark,5,700.0
Netherlands,Denmark,6,700.0
Netherlands,Denmark,7,700.0
Netherlands,Denmark,8,700.0
NO2,Denmark,1,1632.0
NO2,Denmark,2,1632.0
NO2,Denmark,3,1632.0
NO2,Denmark,4,1632.0
NO2,Denmark,5,1632.0
NO2,Denmark,6,1632.0
NO2,Denmark,7,1632.0
NO2,Denmark,8,1632.0
Poland,Denmark,1,0.0
Poland,Denmark,2,0.0
Poland,Denmark,3,600.0
Poland,Denmark,4,600.0
Poland,Denmark,5,600.0
Poland,Denmark,6,600.0
Poland,Denmark,7,600.0
Poland,Denmark,8,600.0
Sweden,Denmark,1,2716.0
Sweden,Denmark,2,2716.0
Sweden,Denmark,3,3216.0
Sweden,Denmark,4,3216.0
Sweden,Denmark,5,3216.0
Sweden,Denmark,6,3216.0
Sweden,Denmark,7,3216.0
Sweden,Denmark,8,3216.0
Finland,Estonia,1,1016.0
Finland,Estonia,2,1016.0
Finland,Estonia,3,1016.0
Finland,Estonia,4,1016.0
Finland,Estonia,5,1516.0
Finland,Estonia,6,1516.0
Finland,Estonia,7,1516.0
Finland,Estonia,8,1516.0
Latvia,Estonia,1,900.0
Latvia,Estonia,2,1500.0
Latvia,Estonia,3,1500.0
Latvia,Estonia,4,1500.0
Latvia,Estonia,5,2000.0
Latvia,Estonia,6,2000.0
Latvia,Estonia,7,2000.0
Latvia,Estonia,8,2000.0
Sweden,Estonia,1,0.0
Sweden,Estonia,2,0.0
Sweden,Estonia,3,0.0
Sweden,Estonia,4,0.0
Sweden,Estonia,5,0.0
Sweden,Estonia,6,0.0
Sweden,Estonia,7,0.0
Sweden,Estonia,8,0.0
NO4,Finland,1,0.0
NO4,Finland,2,0.0
NO4,Finland,3,1500.0
NO4,Finland,4,1500.0
NO4,Finland,5,1500.0
NO4,Finland,6,1500.0
NO4,Finland,7,1500.0
NO4,Finland,8,1500.0
Sweden,Finland,1,2300.0
Sweden,Finland,2,3200.0
Sweden,Finland,3,4000.0
Sweden,Finland,4,4000.0
Sweden,Finland,5,4200.0
Sweden,Finland,6,4200.0
Sweden,Finland,7,4200.0
Sweden,Finland,8,4200.0
GreatBrit.,France,1,2000.0
GreatBrit.,France,2,3000.0
GreatBrit.,France,3,4400.0
GreatBrit.,France,4,4400.0
GreatBrit.,France,5,7800.0
GreatBrit.,France,6,7800.0
GreatBrit.,France,7,7800.0
GreatBrit.,France,8,7800.0
Ireland,France,1,0.0
Ireland,France,2,0.0
Ireland,France,3,699.999999999999
Ireland,France,4,699.999999999999
Ireland,France,5,1400.0
Ireland,France,6,1400.0
Ireland,France,7,1400.0
Ireland,France,8,1400.0
Italy,France,1,4350.0
Italy,France,2,5550.0
Italy,France,3,7350.0
Italy,France,4,7350.0
Italy,France,5,7350.0
Italy,France,6,7350.0
Italy,France,7,7350.0
Italy,France,8,7350.0
Luxemb.,France,1,380.0
Luxemb.,France,2,380.0
Luxemb.,France,3,380.0
Luxemb.,France,4,380.0
Luxemb.,France,5,380.0
Luxemb.,France,6,380.0
Luxemb.,France,7,380.0
Luxemb.,France,8,380.0
Denmark,Germany,1,2765.0
Denmark,Germany,2,4765.0
Denmark,Germany,3,4765.0
Denmark,Germany,4,4765.0
Denmark,Germany,5,4765.0
Denmark,Germany,6,4765.0
Denmark,Germany,7,4765.0
Denmark,Germany,8,4765.0
France,Germany,1,2300.0
France,Germany,2,2300.0
France,Germany,3,4100.0
France,Germany,4,4100.0
France,Germany,5,4100.0
France,Germany,6,4100.0
France,Germany,7,4100.0
France,Germany,8,4100.0
Luxemb.,Germany,1,2300.0
Luxemb.,Germany,2,2300.0
Luxemb.,Germany,3,2300.0
Luxemb.,Germany,4,2300.0
Luxemb.,Germany,5,2300.0
Luxemb.,Germany,6,2300.0
Luxemb.,Germany,7,2300.0
Luxemb.,Germany,8,2300.0
Netherlands,Germany,1,4250.0
Netherlands,Germany,2,5150.0
Netherlands,Germany,3,5150.0
Netherlands,Germany,4,5150.0
Netherlands,Germany,5,6150.0
Netherlands,Germany,6,6150.0
Netherlands,Germany,7,6150.0
Netherlands,Germany,8,6150.0
NO2,Germany,1,1400.0
NO2,Germany,2,2800.0
NO2,Germany,3,2800.0
NO2,Germany,4,2800.0
NO2,Germany,5,2800.0
NO2,Germany,6,2800.0
NO2,Germany,7,2800.0
NO2,Germany,8,2800.0
Poland,Germany,1,3500.0
Poland,Germany,2,5500.0
Poland,Germany,3,10000.0
Poland,Germany,4,10000.0
Poland,Germany,5,10400.0
Poland,Germany,6,10400.0
Poland,Germany,7,10400.0
Poland,Germany,8,10400.0
Sweden,Germany,1,615.0
Sweden,Germany,2,615.0
Sweden,Germany,3,1715.0
Sweden,Germany,4,1715.0
Sweden,Germany,5,1715.0
Sweden,Germany,6,1715.0
Sweden,Germany,7,1715.0
Sweden,Germany,8,1715.0
Ireland,GreatBrit.,1,500.0
Ireland,GreatBrit.,2,1450.0
Ireland,GreatBrit.,3,2450.0
Ireland,GreatBrit.,4,2450.0
Ireland,GreatBrit.,5,2450.0
Ireland,GreatBrit.,6,2450.0
Ireland,GreatBrit.,7,2450.0
Ireland,GreatBrit.,8,2450.0
Netherlands,GreatBrit.,1,1000.0
Netherlands,GreatBrit.,2,1000.0
Netherlands,GreatBrit.,3,1000.0
Netherlands,GreatBrit.,4,1000.0
Netherlands,GreatBrit.,5,3000.0
Netherlands,GreatBrit.,6,3000.0
Netherlands,GreatBrit.,7,3000.0
Netherlands,GreatBrit.,8,3000.0
NO2,GreatBrit.,1,0.0
NO2,GreatBrit.,2,1400.0
NO2,GreatBrit.,3,1400.0
NO2,GreatBrit.,4,1400.0
NO2,GreatBrit.,5,1400.0
NO2,GreatBrit.,6,1400.0
NO2,GreatBrit.,7,1400.0
